Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2021,4,Salta,"46,972.00","99,808.00","39,555.00","5,882.00","7,188.00","199,405.00"
2021,4,San Juan,"35,868.00","13,102.00","11,072.00","11,423.00","8,493.00","79,958.00"
2021,4,San Luis,"8,472.00","11,064.00",30.00,"7,056.00","28,723.00","118,849.00"
2021,4,Santa Cruz,"1,079.00","22,902.00","10,031.00","4,346.00",417.00,"48,486.00"
2021,4,Santa Fe,"233,427.00","444,373.00","128,856.00","43,556.00","16,229.00","866,441.00"
2021,4,Santiago Del Estero,"19,032.00","86,563.00","1,088.00","6,256.00","2,922.00","115,861.00"
2021,4,Tierra Del Fuego,"13,317.00","38,148.00",426.00,124.00,342.00,"52,357.00"
2021,4,Tucumán,"9,783.00","59,022.00","7,879.00","2,511.00",486.00,"238,639.00"
2021,3,Buenos Aires,"585,729.00","2,595,485.00","885,613.00","120,228.00","64,554.00","4,251,609.00"
2021,3,Capital Federal,"142,902.00","1,192,107.00","42,966.00","6,059.00","29,371.00","1,413,405.00"
2021,3,Catamarca,"18,413.00","11,709.00","22,331.00","1,568.00","2,233.00","56,254.00"
2021,3,Chaco,"38,258.00","63,659.00","27,583.00","8,018.00","2,353.00","139,871.00"
2021,3,Chubut,"49,269.00","55,794.00","8,946.00","23,376.00","18,681.00","156,066.00"
2021,3,Córdoba,"229,275.00","477,223.00","167,495.00","57,617.00","15,178.00","946,788.00"
2021,3,Corrientes,"44,805.00","69,403.00","7,542.00","6,766.00","5,303.00","133,819.00"
2021,3,Entre Ríos,"74,443.00","128,752.00","20,485.00",235.00,"13,195.00","260,375.00"
2021,3,Formosa,"18,093.00","14,111.00",473.00,"1,569.00",171.00,"52,795.00"
2021,3,Jujuy,"23,554.00","60,758.00","19,926.00","2,952.00","3,968.00","111,158.00"
2021,3,La Pampa,"9,015.00","57,881.00","17,817.00","14,479.00","1,295.00","100,487.00"
2021,3,La Rioja,"11,329.00","54,744.00","9,444.00","6,613.00",30.00,"8,216.00"
2021,3,Mendoza,"91,474.00","71,247.00","70,579.00","21,811.00",828.00,"255,939.00"
2021,3,Misiones,"4,323.00","89,469.00","10,969.00","7,198.00","7,662.00","158,528.00"
2021,3,Neuquén,"2,965.00","73,794.00","16,455.00","1,927.00",640.00,"139,809.00"
2021,3,Río Negro,"47,934.00","44,519.00","18,725.00","15,031.00","18,376.00","144,585.00"
2021,3,Salta,"49,212.00","98,318.00","36,126.00","5,724.00","6,453.00","195,833.00"
2021,3,San Juan,"40,072.00","12,922.00",667.00,"11,372.00","8,447.00","79,483.00"
2021,3,San Luis,"8,417.00","11,884.00",27.00,"68,856.00","2,868.00","117,864.00"
2021,3,Santa Cruz,"12,347.00","22,961.00","6,328.00","4,269.00","3,071.00","48,976.00"
2021,3,Santa Fe,"245,929.00","443,156.00","93,412.00","43,447.00","1,564.00","841,584.00"
2021,3,Santiago Del Estero,"19,939.00","85,535.00",909.00,"6,147.00","2,928.00","115,458.00"
2021,3,Tierra Del Fuego,"12,853.00","36,958.00",6.00,16.00,390.00,"50,223.00"
2021,3,Tucumán,"104,489.00","53,868.00","70,964.00","2,408.00",743.00,"232,472.00"
2021,2,Buenos Aires,"603,255.00","2,503,830.00","854,173.00","113,546.00","57,547.00","4,132,351.00"
2021,2,Capital Federal,"148,989.00","1,175,097.00","41,318.00",558.00,"29,371.00","1,400,355.00"
2021,2,Catamarca,"20,305.00","9,426.00","22,331.00","1,449.00","2,233.00","55,744.00"
2021,2,Chaco,"39,826.00","62,948.00","27,584.00","8,018.00","2,353.00","140,729.00"
2021,2,Chubut,"49,271.00","41,497.00","6,081.00","23,682.00","18,706.00","139,237.00"
2021,2,Córdoba,"23,978.00","467,782.00","151,855.00","55,944.00","15,519.00","93,088.00"
2021,2,Corrientes,"46,648.00","67,262.00","3,731.00","6,557.00","5,303.00","129,501.00"
2021,2,Entre Ríos,"77,836.00","124,957.00","17,856.00","23,786.00","13,197.00","257,632.00"
2021,2,Formosa,"19,571.00","12,509.00",361.00,"1,569.00",171.00,"51,551.00"
2021,2,Jujuy,"24,738.00",608.00,"19,611.00","2,731.00","3,968.00","111,848.00"
2021,2,La Pampa,"9,017.00","57,014.00","17,132.00","13,209.00","1,295.00","97,667.00"
2021,2,La Rioja,"11,627.00","54,255.00","9,445.00","6,245.00",30.00,"81,602.00"
2021,2,Mendoza,"91,503.00","70,834.00","44,696.00","21,811.00",827.00,"229,671.00"
2021,2,Misiones,"4,496.00","87,861.00","10,376.00","5,317.00","7,662.00","156,176.00"
2021,2,Neuquén,"30,083.00","7,269.00","15,619.00","19,218.00",640.00,"13,825.00"
2021,2,Río Negro,"48,189.00","43,761.00","18,727.00","15,031.00","18,376.00","144,084.00"
2021,2,Salta,"51,396.00","96,016.00","3,205.00","5,724.00","6,453.00","191,639.00"
2021,2,San Juan,"40,072.00","12,369.00","6,673.00","11,372.00","8,447.00","78,933.00"
2021,2,San Luis,"8,417.00","11,308.00",28.00,"6,686.00","36,205.00","122,818.00"
2021,2,Santa Cruz,"12,347.00","22,967.00","6,328.00","4,269.00","3,071.00","48,982.00"
2021,2,Santa Fe,"256,741.00","431,915.00","90,424.00","43,997.00","17,523.00","8,406.00"
2021,2,Santiago Del Estero,"20,734.00","8,377.00",909.00,"5,081.00","3,596.00","11,409.00"
2021,2,Tierra Del Fuego,"12,853.00","22,504.00",6.00,14.00,316.00,"35,693.00"
2021,2,Tucumán,"110,429.00","48,359.00","71,683.00","1,837.00",743.00,"233,051.00"
