Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2021,2,Corrientes,"129,498.00",3.00,"129,501.00"
2021,2,Entre Ríos,"257,617.00",15.00,"257,632.00"
2021,2,Formosa,"51,551.00",0.00,"51,551.00"
2021,2,Jujuy,"111,848.00",0.00,"111,848.00"
2021,2,La Pampa,"97,551.00",116.00,"97,667.00"
2021,2,La Rioja,"81,599.00",3.00,"81,602.00"
2021,2,Mendoza,"229,052.00",619.00,"229,671.00"
2021,2,Misiones,"156,176.00",0.00,"156,176.00"
2021,2,Neuquén,"137,877.00",373.00,"13,825.00"
2021,2,Río Negro,"143,583.00",501.00,"144,084.00"
2021,2,Salta,"191,637.00",2.00,"191,639.00"
2021,2,San Juan,"78,677.00",256.00,"78,933.00"
2021,2,San Luis,"12,267.00",148.00,"122,818.00"
2021,2,Santa Cruz,"48,785.00",197.00,"48,982.00"
2021,2,Santa Fe,"840,449.00",151.00,"8,406.00"
2021,2,Santiago Del Estero,"114,089.00",1.00,"11,409.00"
2021,2,Tierra Del Fuego,"35,404.00",289.00,"35,693.00"
2021,2,Tucumán,"233,026.00",25.00,"233,051.00"
2021,1,Buenos Aires,"4,054,936.00","5,066.00","4,060,002.00"
2021,1,Capital Federal,"1,378,283.00",139.00,"1,379,673.00"
2021,1,Catamarca,"51,967.00",1.00,"51,968.00"
2021,1,Chaco,"139,767.00",3.00,"13,977.00"
2021,1,Chubut,"131,515.00",825.00,"13,234.00"
2021,1,Córdoba,"910,826.00",55.00,"910,881.00"
2021,1,Corrientes,"126,622.00",3.00,"126,625.00"
2021,1,Entre Ríos,"25,195.00",13.00,"251,963.00"
2021,1,Formosa,"50,686.00",0.00,"50,686.00"
2021,1,Jujuy,"110,456.00",0.00,"110,456.00"
2021,1,La Pampa,"96,989.00",116.00,"97,105.00"
2021,1,La Rioja,"52,625.00",3.00,"52,628.00"
2021,1,Mendoza,"218,308.00",615.00,"218,923.00"
2021,1,Misiones,"149,387.00",0.00,"149,387.00"
2021,1,Neuquén,"132,862.00",373.00,"133,235.00"
2021,1,Río Negro,"140,667.00",501.00,"141,168.00"
2021,1,Salta,"187,572.00",2.00,"187,574.00"
2021,1,San Juan,"78,011.00",256.00,"78,267.00"
2021,1,San Luis,"119,006.00",148.00,"119,154.00"
2021,1,Santa Cruz,"45,868.00",197.00,"46,065.00"
2021,1,Santa Fe,"82,599.00",137.00,"826,127.00"
2021,1,Santiago Del Estero,"11,164.00",1.00,"111,641.00"
2021,1,Tierra Del Fuego,"40,133.00",289.00,"40,422.00"
2021,1,Tucumán,"23,189.00",22.00,"231,912.00"
2020,4,Buenos Aires,"4,028,195.00","5,066.00","4,033,261.00"
2020,4,Capital Federal,"1,378,140.00",139.00,"1,379,530.00"
2020,4,Catamarca,"52,395.00",1.00,"52,396.00"
2020,4,Chaco,"139,088.00",3.00,"139,091.00"
2020,4,Chubut,"129,749.00",825.00,"130,574.00"
2020,4,Córdoba,"902,646.00",55.00,"902,701.00"
2020,4,Corrientes,"125,656.00",3.00,"125,659.00"
2020,4,Entre Ríos,"247,368.00",13.00,"247,381.00"
2020,4,Formosa,"50,206.00",0.00,"50,206.00"
2020,4,Jujuy,"105,851.00",0.00,"105,851.00"
2020,4,La Pampa,"96,779.00",116.00,"96,895.00"
2020,4,La Rioja,"52,775.00",3.00,"52,778.00"
2020,4,Mendoza,"214,838.00",615.00,"215,453.00"
2020,4,Misiones,"147,161.00",0.00,"147,161.00"
2020,4,Neuquén,"132,762.00",373.00,"133,135.00"
2020,4,Río Negro,"140,709.00",501.00,"14,121.00"
2020,4,Salta,"187,388.00",2.00,"18,739.00"
2020,4,San Juan,"7,234.00",256.00,"72,596.00"
2020,4,San Luis,"119,287.00",148.00,"119,435.00"
2020,4,Santa Cruz,"40,477.00",197.00,"40,674.00"
2020,4,Santa Fe,"820,676.00",137.00,"820,813.00"
2020,4,Santiago Del Estero,"106,668.00",1.00,"106,669.00"
2020,4,Tierra Del Fuego,"39,325.00",289.00,"39,614.00"
2020,4,Tucumán,"231,067.00",22.00,"231,089.00"
2020,3,Buenos Aires,"3,932,211.00","5,066.00","3,937,277.00"
2020,3,Capital Federal,"1,371,285.00",139.00,"1,372,675.00"
2020,3,Catamarca,"49,903.00",1.00,"49,904.00"
2020,3,Chaco,"133,951.00",3.00,"133,954.00"
2020,3,Chubut,"129,202.00",825.00,"130,027.00"
2020,3,Córdoba,"867,417.00",55.00,"867,472.00"
2020,3,Corrientes,"123,388.00",3.00,"123,391.00"
2020,3,Entre Ríos,"241,482.00",13.00,"241,495.00"
2020,3,Formosa,"49,209.00",0.00,"49,209.00"
2020,3,Jujuy,"106,728.00",0.00,"106,728.00"
2020,3,La Pampa,"93,619.00",116.00,"93,735.00"
2020,3,La Rioja,"52,613.00",3.00,"52,616.00"
2020,3,Mendoza,"207,173.00",615.00,"207,788.00"
2020,3,Misiones,"143,186.00",0.00,"143,186.00"
2020,3,Neuquén,"128,862.00",373.00,"129,235.00"
2020,3,Río Negro,"130,966.00",501.00,"131,467.00"
2020,3,Salta,"180,844.00",2.00,"180,846.00"
2020,3,San Juan,"77,071.00",256.00,"77,327.00"
2020,3,San Luis,"116,417.00",148.00,"116,565.00"
2020,3,Santa Cruz,"39,084.00",197.00,"39,281.00"
2020,3,Santa Fe,"802,861.00",137.00,"802,998.00"
2020,3,Santiago Del Estero,"105,491.00",1.00,"105,492.00"
2020,3,Tierra Del Fuego,"39,366.00",289.00,"39,655.00"
2020,3,Tucumán,"223,854.00",22.00,"223,876.00"
2020,2,Buenos Aires,"3,772,480.00","5,066.00","3,777,546.00"
2020,2,Capital Federal,"1,356,431.00",139.00,"1,357,821.00"
2020,2,Catamarca,"47,975.00",1.00,"47,976.00"
2020,2,Chaco,"128,129.00",3.00,"128,132.00"
2020,2,Chubut,"107,831.00",825.00,"108,656.00"
2020,2,Córdoba,"836,413.00",55.00,"836,468.00"
2020,2,Corrientes,"118,863.00",3.00,"118,866.00"
2020,2,Entre Ríos,"2,341.00",13.00,"234,113.00"
2020,2,Formosa,"47,932.00",0.00,"47,932.00"
2020,2,Jujuy,"94,316.00",0.00,"94,316.00"
2020,2,La Pampa,"89,693.00",116.00,"89,809.00"
2020,2,La Rioja,"52,152.00",3.00,"52,155.00"
2020,2,Mendoza,"200,569.00",615.00,"201,184.00"
2020,2,Misiones,"14,034.00",0.00,"14,034.00"
2020,2,Neuquén,"125,799.00",373.00,"126,172.00"
2020,2,Río Negro,"128,985.00",501.00,"129,486.00"
2020,2,Salta,"17,776.00",2.00,"177,762.00"
2020,2,San Juan,"69,521.00",256.00,"69,777.00"
2020,2,San Luis,"113,804.00",148.00,"113,952.00"
2020,2,Santa Cruz,"38,672.00",197.00,"38,869.00"
2020,2,Santa Fe,"777,795.00",137.00,"777,932.00"
2020,2,Santiago Del Estero,"105,446.00",1.00,"105,447.00"
2020,2,Tierra Del Fuego,389.00,289.00,"39,189.00"
2020,2,Tucumán,"217,134.00",22.00,"217,156.00"
2020,1,Buenos Aires,"3,702,985.00","5,066.00","3,708,051.00"
2020,1,Capital Federal,"1,352,104.00",139.00,"1,353,494.00"
2020,1,Catamarca,"39,634.00",1.00,"39,635.00"
2020,1,Chaco,"120,274.00",3.00,"120,277.00"
2020,1,Chubut,"95,938.00",800.00,"96,738.00"
2020,1,Córdoba,"811,044.00",55.00,"811,099.00"
2020,1,Corrientes,"113,967.00",3.00,"11,397.00"
2020,1,Entre Ríos,"231,833.00",13.00,"231,846.00"
2020,1,Formosa,"46,434.00",0.00,"46,434.00"
2020,1,Jujuy,"91,665.00",0.00,"91,665.00"
2020,1,La Pampa,"8,911.00",116.00,"89,226.00"
2020,1,La Rioja,"48,337.00",3.00,"4,834.00"
2020,1,Mendoza,"182,837.00",615.00,"183,452.00"
2020,1,Misiones,"133,552.00",0.00,"133,552.00"
2020,1,Neuquén,"121,354.00",373.00,"121,727.00"
2020,1,Río Negro,"125,699.00",501.00,"1,262.00"
2020,1,Salta,"170,379.00",2.00,"170,381.00"
2020,1,San Juan,"63,975.00",256.00,"64,231.00"
2020,1,San Luis,"110,404.00",148.00,"110,552.00"
2020,1,Santa Cruz,"38,625.00",197.00,"38,822.00"
2020,1,Santa Fe,"770,981.00",137.00,"771,118.00"
2020,1,Santiago Del Estero,"102,754.00",1.00,"102,755.00"
2020,1,Tierra Del Fuego,"38,505.00",289.00,"38,794.00"
2020,1,Tucumán,"200,045.00",22.00,"200,067.00"
2019,4,Buenos Aires,"3,681,120.00","5,134.00","3,686,254.00"
2019,4,Capital Federal,"1,356,695.00",141.00,"1,358,105.00"
2019,4,Catamarca,"3,831.00",1.00,"38,311.00"
2019,4,Chaco,"1,179.00",3.00,"117,903.00"
2019,4,Chubut,"95,292.00",810.00,"96,102.00"
2019,4,Córdoba,"806,633.00",55.00,"806,688.00"
2019,4,Corrientes,"113,831.00",3.00,"113,834.00"
2019,4,Entre Ríos,"239,017.00",13.00,"23,903.00"
2019,4,Formosa,"46,711.00",0.00,"46,711.00"
2019,4,Jujuy,"88,881.00",0.00,"88,881.00"
2019,4,La Pampa,"9,028.00",119.00,"90,399.00"
2019,4,La Rioja,"48,999.00",3.00,"49,002.00"
2019,4,Mendoza,"185,157.00",623.00,"18,578.00"
2019,4,Misiones,"135,813.00",0.00,"135,813.00"
2019,4,Neuquén,"116,069.00",376.00,"116,445.00"
2019,4,Río Negro,"126,636.00",504.00,"12,714.00"
2019,4,Salta,"172,443.00",2.00,"172,445.00"
2019,4,San Juan,"64,715.00",259.00,"64,974.00"
2019,4,San Luis,"108,053.00",148.00,"108,201.00"
2019,4,Santa Cruz,"3,917.00",200.00,"3,937.00"
2019,4,Santa Fe,"769,019.00",150.00,"769,169.00"
2019,4,Santiago Del Estero,"103,587.00",1.00,"103,588.00"
2019,4,Tierra Del Fuego,"40,101.00",291.00,"40,392.00"
2019,4,Tucumán,"198,621.00",23.00,"198,644.00"
2019,3,Buenos Aires,"3,950,114.00","10,119.00","3,960,233.00"
2019,3,Capital Federal,"1,437,734.00","3,477.00","1,441,211.00"
2019,3,Catamarca,"32,391.00",9.00,324.00
2019,3,Chaco,"114,438.00",13.00,"114,451.00"
2019,3,Chubut,"87,481.00","1,524.00","89,005.00"
2019,3,Córdoba,"782,946.00",107.00,"783,053.00"
2019,3,Corrientes,"112,749.00",10.00,"112,759.00"
2019,3,Entre Ríos,"238,057.00",45.00,"238,102.00"
2019,3,Formosa,"46,066.00",0.00,"46,066.00"
2019,3,Jujuy,"86,575.00",1.00,"86,576.00"
2019,3,La Pampa,"90,559.00",269.00,"90,828.00"
2019,3,La Rioja,"49,659.00",18.00,"49,677.00"
2019,3,Mendoza,"223,015.00","1,322.00","224,337.00"
2019,3,Misiones,"133,883.00",0.00,"133,883.00"
2019,3,Neuquén,"123,435.00","1,986.00","125,421.00"
2019,3,Río Negro,"143,391.00",904.00,"144,295.00"
2019,3,Salta,"151,834.00",1.00,"151,835.00"
2019,3,San Juan,"72,535.00",563.00,"73,098.00"
2019,3,San Luis,"122,409.00",291.00,"1,227.00"
2019,3,Santa Cruz,"37,642.00",328.00,"3,797.00"
2019,3,Santa Fe,"760,706.00",228.00,"760,934.00"
2019,3,Santiago Del Estero,"13,313.00",2.00,"133,132.00"
2019,3,Tierra Del Fuego,"48,043.00",544.00,"48,587.00"
2019,3,Tucumán,"164,099.00",32.00,"164,131.00"
2019,2,Buenos Aires,"3,845,594.00","10,104.00","3,855,698.00"
2019,2,Capital Federal,"1,412,177.00","3,443.00","1,415,620.00"
2019,2,Catamarca,"33,626.00",9.00,"33,635.00"
2019,2,Chaco,"108,721.00",13.00,"108,734.00"
2019,2,Chubut,"86,038.00","1,518.00","87,556.00"
2019,2,Córdoba,"775,023.00",105.00,"775,128.00"
2019,2,Corrientes,"111,539.00",10.00,"111,549.00"
2019,2,Entre Ríos,"23,578.00",44.00,"235,824.00"
2019,2,Formosa,"46,438.00",0.00,"46,438.00"
2019,2,Jujuy,"86,706.00",1.00,"86,707.00"
2019,2,La Pampa,"89,937.00",268.00,"90,205.00"
2019,2,La Rioja,"50,283.00",18.00,"50,301.00"
2019,2,Mendoza,"222,535.00","1,322.00","223,857.00"
2019,2,Misiones,"132,878.00",0.00,"132,878.00"
2019,2,Neuquén,"120,954.00","1,999.00","122,953.00"
2019,2,Río Negro,"137,632.00",915.00,"138,547.00"
2019,2,Salta,"142,567.00",1.00,"142,568.00"
2019,2,San Juan,"69,461.00",564.00,"70,025.00"
2019,2,San Luis,"117,094.00",291.00,"117,385.00"
2019,2,Santa Cruz,"30,225.00",325.00,"3,055.00"
2019,2,Santa Fe,"743,258.00",226.00,"743,484.00"
2019,2,Santiago Del Estero,"126,752.00",2.00,"126,754.00"
2019,2,Tierra Del Fuego,"4,691.00",544.00,"47,454.00"
2019,2,Tucumán,"166,299.00",32.00,"166,331.00"
2019,1,Buenos Aires,"3,736,563.00","10,104.00","3,746,667.00"
2019,1,Capital Federal,"1,396,157.00","3,443.00","1,399,600.00"
2019,1,Catamarca,"33,613.00",9.00,"33,622.00"
2019,1,Chaco,"103,664.00",13.00,"103,677.00"
2019,1,Chubut,"7,826.00","1,518.00","79,778.00"
2019,1,Córdoba,"74,401.00",105.00,"744,115.00"
2019,1,Corrientes,"102,477.00",10.00,"102,487.00"
2019,1,Entre Ríos,"232,403.00",44.00,"232,447.00"
2019,1,Formosa,"45,211.00",0.00,"45,211.00"
2019,1,Jujuy,"90,146.00",1.00,"90,147.00"
2019,1,La Pampa,"88,892.00",268.00,"8,916.00"
2019,1,La Rioja,"51,638.00",18.00,"51,656.00"
2019,1,Mendoza,"204,976.00","1,322.00","206,298.00"
2019,1,Misiones,"12,272.00",0.00,"12,272.00"
2019,1,Neuquén,"112,321.00","2,056.00","114,377.00"
2019,1,Río Negro,"120,173.00",915.00,"121,088.00"
2019,1,Salta,"136,019.00",1.00,"13,602.00"
2019,1,San Juan,"61,881.00",564.00,"62,445.00"
2019,1,San Luis,"96,044.00",291.00,"96,335.00"
2019,1,Santa Cruz,"2,458.00",325.00,"24,905.00"
2019,1,Santa Fe,"736,851.00",227.00,"737,078.00"
2019,1,Santiago Del Estero,"89,851.00",2.00,"89,853.00"
2019,1,Tierra Del Fuego,"45,903.00",544.00,"46,447.00"
2019,1,Tucumán,"17,197.00",32.00,"172,002.00"
2018,4,Buenos Aires,"3,626,502.00","10,104.00","3,636,606.00"
2018,4,Capital Federal,"1,385,577.00","3,443.00","1,389,020.00"
2018,4,Catamarca,"33,574.00",9.00,"33,583.00"
2018,4,Chaco,"103,257.00",13.00,"10,327.00"
2018,4,Chubut,"77,204.00","1,518.00","78,722.00"
2018,4,Córdoba,"737,234.00",105.00,"737,339.00"
2018,4,Corrientes,"100,591.00",10.00,"100,601.00"
2018,4,Entre Ríos,"222,003.00",44.00,"222,047.00"
2018,4,Formosa,"45,204.00",0.00,"45,204.00"
2018,4,Jujuy,"90,132.00",1.00,"90,133.00"
2018,4,La Pampa,"85,368.00",268.00,"85,636.00"
2018,4,La Rioja,"51,633.00",18.00,"51,651.00"
2018,4,Mendoza,"204,982.00","1,322.00","206,304.00"
2018,4,Misiones,"116,273.00",0.00,"116,273.00"
2018,4,Neuquén,"112,309.00","2,056.00","114,365.00"
2018,4,Río Negro,"115,922.00",915.00,"116,837.00"
2018,4,Salta,"134,577.00",1.00,"134,578.00"
2018,4,San Juan,"61,834.00",564.00,"62,398.00"
2018,4,San Luis,"9,604.00",291.00,"96,331.00"
2018,4,Santa Cruz,"24,443.00",325.00,"24,768.00"
2018,4,Santa Fe,"720,161.00",229.00,"72,039.00"
2018,4,Santiago Del Estero,"89,333.00",2.00,"89,335.00"
2018,4,Tierra Del Fuego,"45,716.00",544.00,"4,626.00"
2018,4,Tucumán,"171,972.00",32.00,"172,004.00"
2018,3,Buenos Aires,"3,599,714.00","10,563.00","3,610,277.00"
2018,3,Capital Federal,"1,385,804.00","6,686.00","1,392,490.00"
2018,3,Catamarca,"34,215.00",11.00,"34,226.00"
2018,3,Chaco,"102,021.00",12.00,"102,033.00"
2018,3,Chubut,"10,131.00","2,426.00","103,736.00"
2018,3,Córdoba,"725,764.00",94.00,"725,858.00"
2018,3,Corrientes,"99,445.00",11.00,"99,456.00"
2018,3,Entre Ríos,"20,456.00",48.00,"204,608.00"
2018,3,Formosa,"44,865.00",0.00,"44,865.00"
2018,3,Jujuy,"44,934.00",1.00,"44,935.00"
2018,3,La Pampa,"8,318.00",244.00,"83,424.00"
2018,3,La Rioja,"51,855.00",17.00,"51,872.00"
2018,3,Mendoza,"205,545.00","1,484.00","207,029.00"
2018,3,Misiones,"108,042.00",0.00,"108,042.00"
2018,3,Neuquén,"114,713.00","2,005.00","116,718.00"
2018,3,Río Negro,"112,433.00","1,059.00","113,492.00"
2018,3,Salta,"132,882.00",1.00,"132,883.00"
2018,3,San Juan,"63,823.00",658.00,"64,481.00"
2018,3,San Luis,"74,121.00",300.00,"74,421.00"
2018,3,Santa Cruz,"33,565.00",434.00,"33,999.00"
2018,3,Santa Fe,"694,883.00",217.00,"6,951.00"
2018,3,Santiago Del Estero,"86,358.00",2.00,"8,636.00"
2018,3,Tierra Del Fuego,"45,056.00",508.00,"45,564.00"
2018,3,Tucumán,"171,135.00",31.00,"171,166.00"
2018,2,Buenos Aires,"3,490,134.00","10,565.00","3,500,699.00"
2018,2,Capital Federal,"1,362,498.00","6,688.00","1,369,186.00"
2018,2,Catamarca,"34,078.00",11.00,"34,089.00"
2018,2,Chaco,"98,509.00",12.00,"98,521.00"
2018,2,Chubut,"98,137.00","2,427.00","100,564.00"
2018,2,Córdoba,"712,979.00",94.00,"713,073.00"
2018,2,Corrientes,"97,946.00",11.00,"97,957.00"
2018,2,Entre Ríos,"199,937.00",48.00,"199,985.00"
2018,2,Formosa,"44,554.00",,"44,554.00"
2018,2,Jujuy,"45,132.00",1.00,"45,133.00"
2018,2,La Pampa,"82,177.00",244.00,"82,421.00"
2018,2,La Rioja,"51,931.00",17.00,"51,948.00"
2018,2,Mendoza,"199,468.00","1,484.00","200,952.00"
2018,2,Misiones,"106,147.00",,"106,147.00"
2018,2,Neuquén,"113,842.00","2,006.00","115,848.00"
2018,2,Río Negro,"111,176.00","1,059.00","112,235.00"
2018,2,Salta,"134,166.00",1.00,"134,167.00"
2018,2,San Juan,"63,443.00",658.00,"64,101.00"
2018,2,San Luis,"21,168.00",300.00,"21,468.00"
2018,2,Santa Cruz,"3,397.00",435.00,"34,405.00"
2018,2,Santa Fe,"684,243.00",309.00,"684,552.00"
2018,2,Santiago Del Estero,"83,773.00",2.00,"83,775.00"
2018,2,Tierra Del Fuego,"44,199.00",508.00,"44,707.00"
2018,2,Tucumán,"169,926.00",31.00,"169,957.00"
2018,1,Buenos Aires,"3,464,882.00","10,564.00","3,475,446.00"
2018,1,Capital Federal,"1,359,882.00","6,688.00","1,366,570.00"
2018,1,Catamarca,"33,934.00",11.00,"33,945.00"
2018,1,Chaco,"96,925.00",12.00,"96,937.00"
2018,1,Chubut,"95,532.00","2,427.00","97,959.00"
2018,1,Córdoba,"713,825.00",101.00,"713,926.00"
2018,1,Corrientes,"94,406.00",11.00,"94,417.00"
2018,1,Entre Ríos,"197,346.00",48.00,"197,394.00"
2018,1,Formosa,"32,328.00",0.00,"32,328.00"
2018,1,Jujuy,"44,405.00",1.00,"44,406.00"
2018,1,La Pampa,"82,668.00",396.00,"83,064.00"
2018,1,La Rioja,"52,228.00",17.00,"52,245.00"
2018,1,Mendoza,"199,463.00","1,484.00","200,947.00"
2018,1,Misiones,"10,358.00",0.00,"10,358.00"
2018,1,Neuquén,"115,897.00","2,006.00","117,903.00"
2018,1,Río Negro,"110,057.00","1,062.00","111,119.00"
2018,1,Salta,"133,182.00",1.00,"133,183.00"
2018,1,San Juan,"6,261.00",658.00,"63,268.00"
2018,1,San Luis,"21,096.00",300.00,"21,396.00"
2018,1,Santa Cruz,"3,397.00",435.00,"34,405.00"
2018,1,Santa Fe,"679,717.00",309.00,"680,026.00"
2018,1,Santiago Del Estero,"82,916.00",2.00,"82,918.00"
2018,1,Tierra Del Fuego,"31,106.00",508.00,"31,614.00"
2018,1,Tucumán,"168,026.00",31.00,"168,057.00"
2017,4,Buenos Aires,"3,171,206.00","1,069.00","3,181,896.00"
2017,4,Capital Federal,"1,575,418.00","6,906.00","1,582,324.00"
2017,4,Catamarca,"29,548.00",10.00,"29,558.00"
2017,4,Chaco,"96,603.00",12.00,"96,615.00"
2017,4,Chubut,"91,012.00","2,428.00","9,344.00"
2017,4,Córdoba,"709,874.00",105.00,"709,979.00"
2017,4,Corrientes,"9,376.00",11.00,"93,771.00"
2017,4,Entre Ríos,"193,654.00",49.00,"193,703.00"
2017,4,Formosa,"32,056.00",0.00,"32,056.00"
2017,4,Jujuy,"43,551.00",1.00,"43,552.00"
2017,4,La Pampa,"81,675.00",396.00,"82,071.00"
2017,4,La Rioja,"52,177.00",17.00,"52,194.00"
2017,4,Mendoza,"178,661.00",149.00,"180,151.00"
2017,4,Misiones,"103,895.00",0.00,"103,895.00"
2017,4,Neuquén,"114,965.00","2,006.00","116,971.00"
2017,4,Río Negro,"108,702.00","1,062.00","109,764.00"
2017,4,Salta,"132,811.00",1.00,"132,812.00"
2017,4,San Juan,"57,965.00",659.00,"58,624.00"
2017,4,San Luis,"14,604.00",300.00,"14,904.00"
2017,4,Santa Cruz,"29,018.00",434.00,"29,452.00"
